Date,RecFumbTeam,Punter,Muffed,HomeTeam,AwayTeam,desc
2010-10-03,,S.Koch,True,PIT,BAL,"(8:12) (Punt formation) S.Koch punts 38 yards to PIT 14, Center-M.Cox. A.Randle El to PIT 14 for no gain. FUMBLES, and recovers at PIT 14. A.Randle El to PIT 14 for no gain (C.Carr)."
2010-10-03,NO,T.Morstead,False,NO,CAR,"(7:39) T.Morstead punts 50 yards to CAR 16, Center-J.Kyle. C.Munnerlyn to CAR 29 for 13 yards (J.Kyle). FUMBLES (J.Kyle), RECOVERED by NO-C.Roby at CAR 29. C.Roby to CAR 29 for no gain (N.Harris). Carolina's #41 Munnerlyn was injured on the play.  His return is Probable. Carolina challenged the fumble ruling, and the play was Upheld. (Timeout #1 at 07:25.)"
2010-10-10,BUF,B.Moorman,False,BUF,JAC,"(13:20) B.Moorman punts 44 yards to JAC 41, Center-G.Sanborn. M.Thomas to JAC 43 for 2 yards (C.Harris). FUMBLES (C.Harris), RECOVERED by BUF-G.Sanborn at JAC 45."
2010-10-17,DET,M.Dodge,False,NYG,DET,"(11:52) M.Dodge punts 44 yards to DET 27, Center-Z.DeOssie. S.Logan to DET 48 for 21 yards (M.Boley). FUMBLES (M.Boley), recovered by DET-J.Peterson at 50. J.Peterson to 50 for no gain (B.Pascoe)."
2010-10-17,IND,H.Smith,False,WAS,IND,"(5:20) H.Smith punts 44 yards to IND 17, Center-N.Sundberg. K.Moore to IND 20 for 3 yards (C.Wilson). FUMBLES (C.Wilson), recovered by IND-B.King at IND 22. B.King to IND 22 for no gain (N.Sundberg)."
2010-10-17,WAS,H.Smith,False,WAS,IND,"(6:21) H.Smith punts 46 yards to IND 22, Center-N.Sundberg. K.Moore to IND 38 for 16 yards (L.Alexander). FUMBLES (L.Alexander), RECOVERED by WAS-B.Westbrook at IND 39. B.Westbrook to IND 39 for no gain (C.Glenn)."
2010-10-24,KC,D.Colquitt,False,KC,JAC,"(6:46) D.Colquitt punts 46 yards to JAC 14, Center-T.Gafford. M.Thomas to KC 37 for 49 yards (J.Arenas). FUMBLES (J.Arenas), RECOVERED by KC-T.Gafford at KC 26. T.Gafford to KC 26 for no gain (T.Brackenridge)."
2010-10-24,NO,R.Hodges,False,NO,CLE,"(12:51) R.Hodges punts 45 yards to NO 36, Center-R.Pontbriand. L.Moore to NO 38 for 2 yards. FUMBLES, recovered by NO-J.Graham at NO 30. J.Graham to 50 for 20 yards (R.Ventrone)."
2010-10-24,TEN,B.Kern,False,TEN,PHI,"(3:49) (Punt formation) B.Kern punts 47 yards to PHI 33, Center-K.Amato. J.Calvin to PHI 33 for no gain (L.Hawkins). FUMBLES (L.Hawkins), RECOVERED by TEN-T.Shaw at PHI 33. T.Shaw to PHI 33 for no gain (J.Hanson)."
2010-10-24,DEN,S.Lechler,False,DEN,OAK,"(5:29) S.Lechler punts 46 yards to DEN 19, Center-J.Condo. S.Thompson MUFFS catch, and recovers at DEN 19. S.Thompson to DEN 29 for 10 yards (J.Condo). FUMBLES (J.Condo), recovered by DEN-D.Bruton at DEN 32. D.Bruton to DEN 32 for no gain (R.Cartwright)."
2010-11-07,NYJ,N.Harris,False,DET,NYJ,"(5:47) N.Harris punts 49 yards to NYJ 14, Center-D.Muhlbach. K.Wilson to NYJ 28 for 14 yards (L.Johnson). FUMBLES (L.Johnson), recovered by NYJ-J.Conner at NYJ 33. J.Conner to NYJ 33 for no gain (J.Wade)."
2010-11-07,KC,D.Colquitt,False,OAK,KC,"(9:02) D.Colquitt punts 53 yards to OAK 32, Center-T.Gafford. N.Miller MUFFS catch, and recovers at OAK 25. N.Miller to OAK 30 for 5 yards (D.Williams). FUMBLES (D.Williams), RECOVERED by KC-V.Tucker at OAK 30. V.Tucker to OAK 30 for no gain (N.Miller)."
2010-11-11,ATL,M.Koenen,False,ATL,BAL,"(5:02) M.Koenen punts 38 yards to BAL 35, Center-J.Zelenka. L.Webb to BAL 42 for 7 yards (B.Finneran). FUMBLES (B.Finneran), RECOVERED by ATL-C.Wire at BAL 43. Penalty on BAL-D.Ellerbe, Illegal Block Above the Waist, declined."
2010-11-25,DAL,M.McBriar,False,DAL,NO,"(7:43) (Punt formation) M.McBriar punts 59 yards to NO 15, Center-L.Ladouceur. R.Bush to NO 20 for 5 yards (J.Holley). FUMBLES (J.Holley), RECOVERED by DAL-L.Williams at NO 15. L.Williams to NO 15 for no gain (J.Dunbar). Penalty on NO-P.Prioleau, Illegal Block Above the Waist, declined."
2010-11-28,BUF,D.Sepulveda,False,BUF,PIT,"(12:19) D.Sepulveda punts 55 yards to BUF 44, Center-G.Warren. L.McKelvin to BUF 49 for 5 yards (K.Lewis). FUMBLES (K.Lewis), recovered by BUF-D.Florence at BUF 34. D.Florence to BUF 34 for no gain (A.Madison)."
2010-12-12,PIT,K.Huber,True,PIT,CIN,"(10:01) (Punt formation) K.Huber punts 46 yards to PIT 40, Center-C.Harris. A.Brown to PIT 40 for no gain. FUMBLES, touched at PIT 40, recovered by PIT-A.Madison at PIT 42. A.Madison to PIT 42 for no gain (T.Nelson). PIT-A.Madison was injured during the play.  PENALTY on PIT-W.Allen, Offensive Holding, 10 yards, enforced at PIT 42."
2010-12-12,CHI,B.Maynard,False,CHI,NE,"(14:01) (Punt formation) B.Maynard to NE 35 for 21 yards. FUMBLES, and recovers at NE 35. B.Maynard punts 19 yards to NE 37, downed by CHI-B.Iwuh."
2010-12-12,,S.Rocca,False,DAL,PHI,"(10:41) (Punt formation) S.Rocca punts 43 yards to DAL 20, Center-J.Dorenbos. B.McCann to DAL 20 for no gain (E.Buckley). FUMBLES (E.Buckley), ball out of bounds at DAL 7."
2010-12-26,DET,N.Harris,False,MIA,DET,"(13:14) (Punt formation) N.Harris punts 52 yards to MIA 9, Center-D.Muhlbach. D.Bess to MIA 16 for 7 yards (A.Palmer). FUMBLES (A.Palmer), RECOVERED by DET-L.Johnson at MIA 19. L.Johnson to MIA 19 for no gain (T.Culver)."
2011-01-02,SD,M.Scifres,False,DEN,SD,"(5:46) M.Scifres FUMBLES (Aborted) at SD 49, and recovers at SD 49. M.Scifres punts 21 yards to DEN 30, downed by SD-L.Naanee. PENALTY on SD-M.Windt, Ineligible Downfield Kick, 5 yards, enforced at DEN 30."
2011-09-18,,T.Morstead,False,NO,CHI,"(12:35) T.Morstead punts 38 yards to CHI 18, Center-J.Drescher. D.Hester to CHI 18 for no gain (I.Abdul-Quddus). FUMBLES (I.Abdul-Quddus), touched at CHI 14, ball out of bounds at CHI 13."
2011-09-25,ARI,J.Ryan,False,SEA,ARI,"(:51) J.Ryan punts 44 yards to ARI 13, Center-C.Gresham. P.Peterson to ARI 8 for -5 yards (K.Chancellor). FUMBLES (K.Chancellor), recovered by ARI-A.Jefferson at ARI 6. A.Jefferson to ARI 23 for 17 yards (K.Cox). After the punt was received, the ball was lateraled and fumbled."
2011-10-17,,B.Fields,False,NYJ,MIA,"(7:04) B.Fields punts 38 yards to NYJ 15, Center-J.Denney. J.McKnight to NYJ 18 for 3 yards (J.Wilson). FUMBLES (J.Wilson), and recovers at NYJ 19. J.McKnight to NYJ 19 for no gain (J.Wilson)."
2011-11-06,,B.Moorman,True,BUF,NYJ,"(13:03) B.Moorman punts 66 yards to NYJ 5, Center-G.Sanborn. J.Kerley to NYJ 5 for no gain (R.Martin). FUMBLES (R.Martin), and recovers at NYJ 6. J.Kerley ran ob at NYJ 6 for no gain."
2011-11-06,,T.Morstead,False,NO,TB,"(9:51) T.Morstead punts 57 yards to TB 21, Center-J.Drescher. P.Parker MUFFS catch, and recovers at TB 21. P.Parker to TB 23 for 2 yards (J.Amaya). FUMBLES (J.Amaya), and recovers at TB 23. P.Parker to TB 23 for no gain (J.Amaya)."
2011-11-06,NYG,S.Weatherford,False,NE,NYG,"(4:05) S.Weatherford punts 47 yards to NE 36, Center-Z.DeOssie. J.Edelman to NE 40 for 4 yards (T.Sash). FUMBLES (T.Sash), RECOVERED by NYG-S.Paysinger at NE 40."
2011-11-07,CHI,A.Podlesh,False,PHI,CHI,"(1:11) A.Podlesh punts 50 yards to PHI 20, Center-P.Mannelly. D.Jackson to PHI 11 for -9 yards (Z.Bowman). FUMBLES (Z.Bowman), RECOVERED by CHI-S.Hurd at PHI 11. S.Hurd to PHI 9 for 2 yards (D.Jackson)."
2011-11-10,SD,S.Lechler,False,SD,OAK,"(14:06) S.Lechler punts 60 yards to SD 20, Center-J.Condo. P.Crayton to OAK 40 for 40 yards. FUMBLES, recovered by SD-M.Gilchrist at SD 20. M.Gilchrist pushed ob at OAK 40 for 40 yards (S.Lechler)."
2011-11-13,STL,D.Jones,False,CLE,STL,"(10:53) D.Jones punts 45 yards to CLE 17, Center-J.McQuaide. J.Cribbs to CLE 23 for 6 yards (D.Nixon, B.Leber). FUMBLES (D.Nixon), RECOVERED by STL-B.Leber at CLE 27."
2011-11-20,,T.Masthay,False,GB,TB,"(12:23) T.Masthay punts 50 yards to TB 13, Center-B.Goode. P.Parker to TB 29 for 16 yards. FUMBLES, ball out of bounds at TB 29."
2011-11-20,SF,A.Lee,False,SF,ARI,"(1:21) A.Lee punts 58 yards to ARI 21, Center-B.Jennings. P.Peterson to ARI 31 for 10 yards (T.Gooden). FUMBLES (T.Gooden), RECOVERED by SF-N.Bowman at ARI 31. N.Bowman to ARI 31 for no gain (A.Jefferson)."
2011-11-28,NYG,T.Morstead,False,NO,NYG,"(7:43) T.Morstead punts 52 yards to NYG 12, Center-J.Drescher. A.Ross to NYG 12 for no gain (I.Abdul-Quddus). FUMBLES (I.Abdul-Quddus), touched at NYG 11, recovered by NYG-P.Amukamara at NYG 17. P.Amukamara to NYG 17 for no gain (J.Dunbar)."
2011-12-04,,T.Conley,False,WAS,NYJ,"(:36) T.Conley punts 52 yards to WAS 20, Center-T.Purdum. B.Banks to WAS 14 for -6 yards (G.McIntyre). FUMBLES (G.McIntyre), ball out of bounds at WAS 14."
2011-12-04,DAL,D.Zastudil,False,ARI,DAL,"(9:54) D.Zastudil punts 51 yards to DAL 46, Center-M.Leach. D.Bryant to 50 for 4 yards (M.Adams). FUMBLES (M.Adams), recovered by DAL-A.Ball at DAL 48. A.Ball to DAL 48 for no gain (H.Abdullah). PENALTY on DAL-O.Scandrick, Illegal Blindside Block, 10 yards, enforced at DAL 48."
2011-12-11,JAC,N.Harris,False,JAC,TB,"(6:55) (Punt formation) N.Harris punts 46 yards to TB 30, Center-J.Cain. P.Parker to TB 38 for 8 yards (M.Owens). FUMBLES (M.Owens), RECOVERED by JAC-M.Trent at TB 38. M.Trent to TB 38 for no gain (E.Mack)."
2011-12-11,JAC,N.Harris,False,JAC,TB,"(7:48) (Punt formation) N.Harris punts 40 yards to TB 20, Center-J.Cain. P.Parker to TB 20 for no gain (M.Owens). FUMBLES (M.Owens), RECOVERED by JAC-C.Cloherty at TB 8. C.Cloherty for 8 yards, TOUCHDOWN."
2011-12-11,MIA,B.Fields,False,MIA,PHI,"(7:10) (Punt formation) B.Fields punts 55 yards to PHI 28, Center-J.Denney. D.Jackson to PHI 30 for 2 yards. Lateral to C.Marsh to PHI 30 for no gain (T.Culver). FUMBLES (T.Culver), RECOVERED by MIA-T.Culver at PHI 24."
2011-12-18,,S.Weatherford,False,NYG,WAS,"(5:47) S.Weatherford punts 50 yards to WAS 20, Center-Z.DeOssie. B.Banks to WAS 20 for no gain (D.Thomas). FUMBLES (D.Thomas), and recovers at WAS 18. B.Banks to WAS 18 for no gain (Z.DeOssie). Officially, a punt return for -2 yards."
2011-12-18,BUF,B.Fields,False,BUF,MIA,"(9:55) B.Fields punts 52 yards to BUF 28, Center-J.Denney. L.McKelvin to BUF 36 for 8 yards (M.Mitchell). FUMBLES (M.Mitchell), and recovers at BUF 36. L.McKelvin to BUF 36 for no gain (M.Mitchell). Return's end same as spot of foul. PENALTY on BUF-D.Batten, Illegal Block Above the Waist, 10 yards, enforced at BUF 36."
2012-01-01,SF,D.Jones,False,STL,SF,"(3:06) D.Jones punts 49 yards to SF 28, Center-J.McQuaide. R.Smith to SF 42 for 14 yards (C.Dahl). FUMBLES (C.Dahl), recovered by SF-C.Jones at SF 44. C.Jones to SF 44 for no gain (J.Cole)."
2012-01-01,CLE,J.Kapinos,False,CLE,PIT,"(1:57) J.Kapinos punts 49 yards to CLE 14, Center-G.Warren. J.Cribbs to CLE 24 for 10 yards (L.Timmons). FUMBLES (L.Timmons), ball out of bounds at CLE 24. CLE-J.Haden was injured during the play. His return is Probable."
2012-09-09,,T.Morstead,False,NO,WAS,"(9:55) T.Morstead punts 57 yards to WAS 20, Center-J.Drescher. B.Banks to WAS 23 for 3 yards (W.Herring). FUMBLES (W.Herring), and recovers at WAS 23. B.Banks to WAS 23 for no gain (I.Abdul-Quddus)."
2012-09-09,STL,J.Hekker,False,DET,STL,"(8:32) J.Hekker to STL 6 for -12 yards. FUMBLES, and recovers at STL 7. J.Hekker punts 50 yards to DET 32. S.Logan to STL 47 for 21 yards (C.Dahl). PENALTY on STL-C.Dahl, Horse Collar Tackle, 15 yards, enforced at STL 47."
2012-09-09,JAC,C.Kluwe,False,MIN,JAC,"(12:42) C.Kluwe punts 53 yards to JAC 12, Center-C.Loeffler. M.Thomas to JAC 21 for 9 yards. FUMBLES, recovered by JAC-J.Stanford at JAC 22. J.Stanford to JAC 22 for no gain (M.Asiata)."
2012-09-23,ARI,D.Zastudil,False,ARI,PHI,"(5:02) D.Zastudil punts 58 yards to PHI 26, Center-M.Leach. D.Johnson to PHI 38 for 12 yards (A.Sherman). FUMBLES (A.Sherman), RECOVERED by ARI-M.Leach at PHI 38. M.Leach to PHI 38 for no gain (D.Johnson)."
2012-09-27,BAL,S.Koch,False,BAL,CLE,"(5:18) (Punt formation) S.Koch punts 54 yards to CLE 26, Center-M.Cox. J.Cribbs to CLE 40 for 14 yards (D.Ellerbe). FUMBLES (D.Ellerbe), RECOVERED by BAL-J.McClain at CLE 40. J.McClain to CLE 40 for no gain (K.Maiava). Penalty on BAL-J.Ihedigbo, Personal Foul, offsetting, enforced at CLE 40. Penalty on CLE-J.Bademosi, Personal Foul, offsetting. #16 Josh Cribbs for Cleveland injured on the play  The Replay Assistant challenged the fumble ruling, and the play was Upheld."
2012-09-30,SF,R.Malone,False,NYJ,SF,"(4:43) R.Malone punts 42 yards to SF 30, Center-T.Purdum. T.Ginn to 50 for 20 yards (E.Lankster). FUMBLES (E.Lankster), recovered by SF-A.Dixon at NYJ 49. A.Dixon to NYJ 49 for no gain (T.Tebow)."
2012-09-30,TEN,D.Jones,False,HOU,TEN,"(12:37) D.Jones punts 54 yards to TEN 33, Center-J.Weeks. D.Reynaud to TEN 35 for 2 yards (A.Ball). FUMBLES (A.Ball), recovered by TEN-T.Campbell at TEN 32. T.Campbell to TEN 32 for no gain (T.Dobbins). PENALTY on TEN-T.Campbell, Illegal Block Above the Waist, 10 yards, enforced at TEN 32."
2012-09-30,,B.Fields,False,ARI,MIA,"(14:22) B.Fields punts 47 yards to ARI 34, Center-J.Denney. P.Peterson MUFFS catch, touched at ARI 34, and recovers at ARI 34. P.Peterson to ARI 42 for 8 yards (K.Misi). FUMBLES (K.Misi), and recovers at ARI 42. P.Peterson to ARI 42 for no gain (J.Denney)."
2012-10-14,TB,unknown,False,TB,KC,"(14:15) (Punt formation) M.Koenen punt is BLOCKED by S.Draughn, Center-A.Economos, recovered by TB-M.Koenen at TB 0. M.Koenen to TB 1 for 1 yard (S.Draughn). FUMBLES (S.Draughn), RECOVERED by KC-E.Jones at TB 11. E.Jones pushed ob at TB 1 for 10 yards (Q.Black). The Replay Assistant challenged the runner broke the plane ruling, and the play was REVERSED. (Punt formation) M.Koenen punt is BLOCKED by S.Draughn, Center-A.Economos, recovered by TB-M.Koenen at TB 0. M.Koenen to TB 1 for 1 yard (S.Draughn). FUMBLES (S.Draughn), RECOVERED by KC-E.Jones at TB 11. E.Jones for 11 yards, TOUCHDOWN."
2012-10-14,,M.McBriar,False,PHI,DET,"(13:35) M.McBriar punts 57 yards to DET 39, Center-J.Dorenbos. S.Logan to DET 49 for 10 yards (A.Jordan). FUMBLES (A.Jordan), and recovers at 50. S.Logan to 50 for no gain (A.Jordan)."
2012-10-14,,B.Fields,False,MIA,STL,"(9:00) (Punt formation) B.Fields punts 53 yards to STL 5, Center-J.Denney. J.Jenkins to STL 12 for 7 yards (J.Denney). FUMBLES (J.Denney), ball out of bounds at STL 8."
2012-10-21,,S.Koch,False,HOU,BAL,"(13:48) S.Koch punts 48 yards to HOU 27, Center-M.Cox. K.Martin to HOU 27 for no gain (C.Graham). FUMBLES (C.Graham), and recovers at HOU 25. K.Martin to HOU 25 for no gain (A.Allen). (The punt hang time was 4.68 seconds.)"
2012-10-28,NYG,S.Weatherford,False,DAL,NYG,"(1:08) (Punt formation) S.Weatherford punts 53 yards to DAL 27, Center-Z.DeOssie. D.Bryant MUFFS catch, and recovers at DAL 21. D.Bryant to DAL 20 for -1 yards (Z.DeOssie). FUMBLES (Z.DeOssie), RECOVERED by NYG-M.Coe at DAL 15."
2012-11-01,KC,D.Colquitt,False,SD,KC,"(12:41) D.Colquitt punts 43 yards to SD 22, Center-T.Gafford. E.Weddle to SD 24 for 2 yards (J.Brown). FUMBLES (J.Brown), RECOVERED by KC-C.Greenwood at SD 24. C.Greenwood to SD 24 for no gain (J.Battle)."
2012-11-11,NYG,S.Weatherford,False,CIN,NYG,"(8:45) S.Weatherford punts 45 yards to CIN 20, Center-Z.DeOssie. B.Tate to CIN 27 for 7 yards (C.Blackburn). FUMBLES (C.Blackburn), RECOVERED by NYG-W.Hill at CIN 27. W.Hill to CIN 27 for no gain (B.Tate)."
2012-11-18,TB,M.Koenen,False,CAR,TB,"(12:36) M.Koenen punts 53 yards to CAR 15, Center-A.Economos. C.Munnerlyn to CAR 33 for 18 yards (J.Cutrera). FUMBLES (J.Cutrera), RECOVERED by TB-D.Watson at CAR 29. D.Watson to CAR 29 for no gain (J.Thomas)."
2012-11-18,DEN,M.Scifres,False,DEN,SD,"(10:41) M.Scifres punts 61 yards to DEN 19, Center-M.Windt. T.Holliday to DEN 26 for 7 yards (D.Stuckey). FUMBLES (D.Stuckey), recovered by DEN-L.Ball at DEN 26. L.Ball to DEN 26 for no gain (C.Lynch). PENALTY on SD-C.Lynch, Offensive Holding, 10 yards, enforced at DEN 26."
